"","accuracy","age","subject_name","sub","true_label","predicted_label","classifcation"
"1",TRUE,"adult_multishell","ANC","ANC","FG4","FG4","cyto"
"2",TRUE,"adult_multishell","AX","AX","FG4","FG4","cyto"
"3",TRUE,"adult_multishell","BF","BF","FG4","FG4","cyto"
"4",TRUE,"adult_multishell","BR","BR","FG4","FG4","cyto"
"5",TRUE,"adult_multishell","CT","CT","FG4","FG4","cyto"
"6",TRUE,"adult_multishell","ERK","ERK","FG4","FG4","cyto"
"7",TRUE,"adult_multishell","GK","GK","FG4","FG4","cyto"
"8",TRUE,"adult_multishell","HC","HC","FG4","FG4","cyto"
"9",TRUE,"adult_multishell","HS","HS","FG4","FG4","cyto"
"10",TRUE,"adult_multishell","HW","HW","FG4","FG4","cyto"
"11",TRUE,"adult_multishell","JD","JD","FG4","FG4","cyto"
"12",TRUE,"adult_multishell","JM","JM","FG4","FG4","cyto"
"13",TRUE,"adult_multishell","JT","JT","FG4","FG4","cyto"
"14",TRUE,"adult_multishell","JY","JY","FG4","FG4","cyto"
"15",TRUE,"adult_multishell","KW","KW","FG4","FG4","cyto"
"16",TRUE,"adult_multishell","LM","LM","FG4","FG4","cyto"
"17",TRUE,"adult_multishell","MF","MF","FG4","FG4","cyto"
"18",TRUE,"adult_multishell","NK","NK","FG4","FG4","cyto"
"19",TRUE,"adult_multishell","ST","ST","FG4","FG4","cyto"
"20",TRUE,"adult_multishell","VN","VN","FG4","FG4","cyto"
"21",TRUE,"adult_multishell","XY","XY","FG4","FG4","cyto"
"22",TRUE,"mri3","bb02","bb02_mri3_mask","FG4","FG4","cyto"
"23",TRUE,"mri6","bb02","bb02_mri6_mask","FG4","FG4","cyto"
"24",TRUE,"mri0","bb04","bb04_mri0_mask","FG4","FG4","cyto"
"25",TRUE,"mri6","bb04","bb04_mri6_mask","FG4","FG4","cyto"
"26",TRUE,"mri0","bb05","bb05_mri0_mask","FG4","FG4","cyto"
"27",TRUE,"mri3","bb05","bb05_mri3_mask","FG4","FG4","cyto"
"28",TRUE,"mri6","bb05","bb05_mri6_mask","FG4","FG4","cyto"
"29",TRUE,"mri3","bb07","bb07_mri3_mask","FG4","FG4","cyto"
"30",TRUE,"mri6","bb07","bb07_mri6_mask","FG4","FG4","cyto"
"31",TRUE,"mri0","bb11","bb11_mri0_mask","FG4","FG4","cyto"
"32",TRUE,"mri3","bb11","bb11_mri3_mask","FG4","FG4","cyto"
"33",TRUE,"mri6","bb11","bb11_mri6_mask","FG4","FG4","cyto"
"34",TRUE,"mri3","bb12","bb12_mri3_mask","FG4","FG4","cyto"
"35",TRUE,"mri6","bb14","bb14_mri6_mask","FG4","FG4","cyto"
"36",TRUE,"mri3","bb15","bb15_mri3_mask","FG4","FG4","cyto"
"37",TRUE,"mri6","bb19","bb19_mri6_mask","FG4","FG4","cyto"
"38",TRUE,"mri0","bb22","bb22_mri0_mask","FG4","FG4","cyto"
"39",TRUE,"mri0","bb27","bb27_mri0_mask","FG4","FG4","cyto"
"40",TRUE,"mri0","bb28","bb28_mri0_mask","FG4","FG4","cyto"
"41",TRUE,"mri3","bb28","bb28_mri3_mask","FG4","FG4","cyto"
"42",TRUE,"mri6","bb28","bb28_mri6_mask","FG4","FG4","cyto"
"43",TRUE,"mri3","bb30","bb30_mri3_mask","FG4","FG4","cyto"
"44",TRUE,"mri0","bb32","bb32_mri0_mask","FG4","FG4","cyto"
"45",TRUE,"mri6","bb32","bb32_mri6_mask","FG4","FG4","cyto"
"46",TRUE,"mri3","bb33","bb33_mri3_mask","FG4","FG4","cyto"
"47",TRUE,"mri6","bb33","bb33_mri6_mask","FG4","FG4","cyto"
"48",TRUE,"mri6","bb35","bb35_mri6_mask","FG4","FG4","cyto"
"49",TRUE,"mri0","bb37","bb37_mri0_mask","FG4","FG4","cyto"
"50",TRUE,"mri3","bb37","bb37_mri3_mask","FG4","FG4","cyto"
"51",TRUE,"mri6","bb37","bb37_mri6_mask","FG4","FG4","cyto"
"52",TRUE,"mri3","bb40","bb40_mri3_mask","FG4","FG4","cyto"
"53",TRUE,"mri6","bb40","bb40_mri6_mask","FG4","FG4","cyto"
"54",TRUE,"mri0","bb41","bb41_mri0_mask","FG4","FG4","cyto"
"55",TRUE,"mri3","bb42","bb42_mri3_mask","FG4","FG4","cyto"
"56",TRUE,"mri0","bb44","bb44_mri0_mask","FG4","FG4","cyto"
"57",TRUE,"mri0","bb46","bb46_mri0_mask","FG4","FG4","cyto"
"58",TRUE,"mri3","bb46","bb46_mri3_mask","FG4","FG4","cyto"
"59",TRUE,"mri6","bb47","bb47_mri6_mask","FG4","FG4","cyto"
"60",TRUE,"mri3","bb50","bb50_mri3_mask","FG4","FG4","cyto"
"61",TRUE,"mri0","bb51","bb51_mri0_mask","FG4","FG4","cyto"
"62",TRUE,"mri3","bb51","bb51_mri3_mask","FG4","FG4","cyto"
"63",TRUE,"mri3","bb52","bb52_mri3_mask","FG4","FG4","cyto"
"64",TRUE,"mri6","bb52","bb52_mri6_mask","FG4","FG4","cyto"
"65",TRUE,"mri0","bb53","bb53_mri0_mask","FG4","FG4","cyto"
"66",TRUE,"mri3","bb55","bb55_mri3_mask","FG4","FG4","cyto"
"67",TRUE,"mri6","bb55","bb55_mri6_mask","FG4","FG4","cyto"
"68",TRUE,"mri0","bb56","bb56_mri0_mask","FG4","FG4","cyto"
"69",TRUE,"mri6","bb56","bb56_mri6_mask","FG4","FG4","cyto"
"70",TRUE,"mri0","bb59","bb59_mri0_mask","FG4","FG4","cyto"
"71",TRUE,"mri3","bb59","bb59_mri3_mask","FG4","FG4","cyto"
"72",TRUE,"mri0","bb62","bb62_mri0_mask","FG4","FG4","cyto"
"73",TRUE,"mri6","bb62","bb62_mri6_mask","FG4","FG4","cyto"
"74",TRUE,"mri0","bb63","bb63_mri0_mask","FG4","FG4","cyto"
"75",TRUE,"mri0","bb64","bb64_mri0_mask","FG4","FG4","cyto"
"76",TRUE,"mri6","bb64","bb64_mri6_mask","FG4","FG4","cyto"
"77",TRUE,"mri0","bb65","bb65_mri0_mask","FG4","FG4","cyto"
"78",TRUE,"mri6","bb66","bb66_mri6_mask","FG4","FG4","cyto"
"79",TRUE,"mri0","bb67","bb67_mri0_mask","FG4","FG4","cyto"
"80",TRUE,"mri3","bb67","bb67_mri3_mask","FG4","FG4","cyto"
"81",TRUE,"mri0","bb69","bb69_mri0_mask","FG4","FG4","cyto"
"82",TRUE,"mri3","bb69","bb69_mri3_mask","FG4","FG4","cyto"
"83",TRUE,"mri3","bb75","bb75_mri3_mask","FG4","FG4","cyto"
"84",TRUE,"mri3","bb77","bb77_mri3_mask","FG4","FG4","cyto"
"85",TRUE,"mri0","bb78","bb78_mri0_mask","FG4","FG4","cyto"
"86",TRUE,"mri3","bb78","bb78_mri3_mask","FG4","FG4","cyto"
