"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","OTS",-6.45368817475426e-05,0.139083337742291,0.0252660585102028,4.32248054989674e-05
"2","lh.2_ROI.label","OTS",-0.00051864065870324,0.00153575192053427,0.11073702601816,0.000158484214501967
"3","lh.3a_ROI.label","OTS",-0.000229270331010427,0.116280342369964,0.0284374517228422,0.000144506930654734
"4","lh.3b_ROI.label","OTS",-0.000555566333550105,1.05399905812951e-05,0.203079145727989,0.000118675652076491
"5","lh.4_ROI.label","OTS",6.69511081399032e-05,0.354879296688749,0.00996075309001585,7.19761582223246e-05
"6","lh.5L_ROI.label","OTS",-0.000197716916103604,0.000171204831984939,0.15224985825693,5.03095102193493e-05
"7","lh.5m_ROI.label","OTS",-4.26191285892198e-05,0.000185711334957497,0.150732199007408,1.09087415319077e-05
"8","lh.5mv_ROI.label","OTS",-0.000322977173287081,9.14298896964e-08,0.28382334703108,5.5323369675631e-05
"9","lh.6a_ROI.label","OTS",0.000267387198123563,0.004253533965489,0.0911508682459018,9.10451630916492e-05
"10","lh.6d_ROI.label","OTS",2.62602342352619e-05,0.370727850030164,0.00932706128339333,2.91838177663774e-05
"11","lh.6ma_ROI.label","OTS",-8.38931442899392e-06,0.610358136980859,0.00303222297690108,1.64035270832191e-05
"12","lh.6mp_ROI.label","OTS",-0.000111243512394707,0.000320888893875758,0.140480809621006,2.96718589068386e-05
"13","lh.6r_ROI.label","OTS",0.00015627247920717,0.000126027835526649,0.157949882530716,3.89083302328802e-05
"14","lh.6v_ROI.label","OTS",0.000101135760202249,6.41296258662388e-07,0.2516053044584,1.88087949348155e-05
"15","lh.7AL_ROI.label","OTS",-0.000370796606771174,0.00724286973819384,0.0808838680084485,0.000134784752045744
"16","lh.7Am_ROI.label","OTS",-0.000163086050204696,0.215856726363646,0.0177547106707593,0.000130803922192742
"17","lh.7m_ROI.label","OTS",0.00069434705107221,9.5537862900219e-08,0.283110450867079,0.000119144923752482
"18","lh.7PC_ROI.label","OTS",-0.000213521220287549,0.0169212677221383,0.0645393899291648,8.76581179257455e-05
"19","lh.7PL_ROI.label","OTS",0.000283689827655544,0.0013716260672492,0.11290099080804,8.5749522096883e-05
"20","lh.7Pm_ROI.label","OTS",0.000195263172308937,0.0136224018582534,0.0687082112413085,7.75192711744534e-05
"21","lh.8Ad_ROI.label","OTS",0.000138112332140767,0.00019091850449997,0.150215780538615,3.5422546960211e-05
"22","lh.8Av_ROI.label","OTS",0.000557506471468609,1.04299008830277e-08,0.318237071177837,8.79917579184947e-05
"23","lh.8BL_ROI.label","OTS",7.16280204236693e-06,0.414781300939535,0.00774807592358366,8.74073118748396e-06
"24","lh.8BM_ROI.label","OTS",-9.8616998534707e-06,0.332249662071806,0.0109349606464978,1.01136138586199e-05
"25","lh.8C_ROI.label","OTS",0.000951657338457066,8.90993066260209e-11,0.388385758085131,0.000128777064806067
"26","lh.9-46d_ROI.label","OTS",8.78573318634969e-05,0.0661131798939414,0.0387256066067248,4.7201234419602e-05
"27","lh.9a_ROI.label","OTS",3.22678994947058e-06,0.890523809596061,0.000221552502545496,2.33741068565455e-05
"28","lh.9m_ROI.label","OTS",1.75060297433409e-06,0.91833769745421,0.000122937266541013,1.70243274098209e-05
"29","lh.9p_ROI.label","OTS",8.51931415907717e-06,0.511869930638613,0.00501933965665439,1.29341959189573e-05
"30","lh.10d_ROI.label","OTS",3.91583198716203e-06,0.794958098038385,0.000789574069529509,1.50212773147058e-05
"31","lh.10pp_ROI.label","OTS",5.0184917418231e-06,0.780213814528868,0.00091025428124471,1.79285379101849e-05
"32","lh.10r_ROI.label","OTS",-3.11730896480009e-05,0.0391426623985592,0.0485423568021682,1.48821241573298e-05
"33","lh.10v_ROI.label","OTS",-8.23891461159021e-06,0.485430445106967,0.00567540396050847,1.17594355977859e-05
"34","lh.11l_ROI.label","OTS",6.84903965796691e-05,0.102567021899916,0.0306897512285437,4.1506410180003e-05
"35","lh.13l_ROI.label","OTS",2.78045042730279e-05,0.417133422058397,0.00767058783283857,3.41019755834577e-05
"36","lh.23c_ROI.label","OTS",-0.000413822295497489,2.26345058425281e-05,0.189383030873067,9.23213133128049e-05
"37","lh.23d_ROI.label","OTS",-8.77262650109844e-05,0.00855996267151887,0.0776608786942577,3.26005238486313e-05
"38","lh.24dd_ROI.label","OTS",-7.2791439960658e-05,0.000734873139208325,0.124805925041933,2.07857484772686e-05
"39","lh.24dv_ROI.label","OTS",-3.70528877734447e-05,0.0894216206729867,0.0331758877799202,2.15692624689954e-05
"40","lh.25_ROI.label","OTS",-2.0767998166489e-05,0.0638986609545852,0.0393573276296443,1.10640351618303e-05
"41","lh.31a_ROI.label","OTS",-2.67393534887302e-05,0.469567133988745,0.00609810166171686,3.6810872123392e-05
"42","lh.31pd_ROI.label","OTS",0.000152945557451564,0.164864992199258,0.0223084814800384,0.000109182632243346
"43","lh.31pv_ROI.label","OTS",0.000286658674886221,0.0122368990113731,0.0707729586714447,0.000112006469254237
"44","lh.33pr_ROI.label","OTS",-3.86202184252123e-06,0.376158849561887,0.00911841644495978,4.34126869956691e-06
"45","lh.43_ROI.label","OTS",5.18124254869e-05,1.94156981891234e-05,0.192146829538952,1.14560342430294e-05
"46","lh.44_ROI.label","OTS",0.00013327538993064,1.61739625389978e-11,0.411801694810379,1.71758625417688e-05
"47","lh.45_ROI.label","OTS",0.00014347025578227,1.27605438563746e-07,0.278399755540259,2.49072946247664e-05
"48","lh.46_ROI.label","OTS",0.000245685087853093,3.15481819573972e-06,0.224307850238513,4.92665366502903e-05
"49","lh.47l_ROI.label","OTS",3.39329427914361e-05,0.000433058927253009,0.134828802628108,9.26898089160821e-06
"50","lh.47m_ROI.label","OTS",4.51140265492571e-06,0.43978415895786,0.00695619855817071,5.81246810250404e-06
"51","lh.47s_ROI.label","OTS",2.71767090666408e-05,0.00240920953485267,0.102095771668477,8.69078027315459e-06
"52","lh.52_ROI.label","OTS",-0.000108852265854904,0.38670620953045,0.00872496503785447,0.000125113301587097
"53","lh.55b_ROI.label","OTS",0.000189453758453066,3.49957500149565e-06,0.222501515751196,3.8188912248029e-05
"54","lh.A1_ROI.label","OTS",-2.79550092196816e-05,0.207307868164897,0.0184256336387801,2.2001931210262e-05
"55","lh.A4_ROI.label","OTS",-9.77420349804171e-05,0.0729998809013916,0.0368943580695227,5.38504250292921e-05
"56","lh.A5_ROI.label","OTS",-6.50981373270132e-05,0.0604097842739665,0.040400609768592,3.42113615130983e-05
"57","lh.a9-46v_ROI.label","OTS",5.63933996095166e-05,0.0557175215854583,0.041907573043762,2.9076123112549e-05
"58","lh.a10p_ROI.label","OTS",2.15384990479979e-05,0.40023281486055,0.00824200775053474,2.54772503670094e-05
"59","lh.a24_ROI.label","OTS",-1.21472101934475e-05,0.301796947441611,0.0123928880067308,1.16931942069419e-05
"60","lh.a24pr_ROI.label","OTS",2.545574543655e-06,0.661271713991064,0.00224284931200176,5.78960547211962e-06
"61","lh.a32pr_ROI.label","OTS",2.06830442942535e-06,0.724116439902571,0.00145601985486045,5.84070385790315e-06
"62","lh.a47r_ROI.label","OTS",0.000109613398223272,0.000299890437327305,0.141753660652817,2.90839409809431e-05
