"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","PPA",-2.75214292318046e-05,0.215190452047685,0.01780587441778,2.20413794561019e-05
"2","lh.2_ROI.label","PPA",-0.000135990001944149,0.0112752843477822,0.0723494079287477,5.25088463519494e-05
"3","lh.3a_ROI.label","PPA",-0.000101012579581241,0.0436782163735116,0.0464736622381238,4.93388626901281e-05
"4","lh.3b_ROI.label","PPA",-0.000144425781074257,0.00996931547938553,0.0747218599862658,5.48034391732707e-05
"5","lh.4_ROI.label","PPA",-7.27274233473278e-05,0.0753922104359604,0.0363004783051999,4.04076527775882e-05
"6","lh.5L_ROI.label","PPA",-4.21810925433336e-05,0.00163510717215047,0.109535851398121,1.29687665905479e-05
"7","lh.5m_ROI.label","PPA",-9.92325073431631e-06,0.015423278613821,0.0663202785988091,4.01495360942566e-06
"8","lh.5mv_ROI.label","PPA",-8.17438464280107e-05,0.000160107697861271,0.153498954366734,2.06998349465491e-05
"9","lh.6a_ROI.label","PPA",6.81178970041431e-05,0.0191153377807714,0.0621997756075826,2.85215263345293e-05
"10","lh.6d_ROI.label","PPA",5.57700828750373e-06,0.608283186018152,0.00306753854657061,1.08415135908932e-05
"11","lh.6ma_ROI.label","PPA",-4.94366836959071e-06,0.483096056873293,0.0057361903228334,7.0184166040575e-06
"12","lh.6mp_ROI.label","PPA",-3.72380067214539e-05,0.00165085564457478,0.109352128243818,1.14597883747475e-05
"13","lh.6r_ROI.label","PPA",-9.22217486116667e-06,0.403232319022253,0.00813806447719579,1.09786559577605e-05
"14","lh.6v_ROI.label","PPA",5.95577441694722e-06,0.335958025225648,0.0107693581709313,6.15521013263572e-06
"15","lh.7AL_ROI.label","PPA",-0.000121031325735575,0.00186460896460756,0.107017123113246,3.77001861421758e-05
"16","lh.7Am_ROI.label","PPA",-8.59966186538153e-05,0.0930948602416212,0.03244370849892,5.06413208931887e-05
"17","lh.7m_ROI.label","PPA",5.70190235484671e-05,0.202952375514852,0.0187799844697801,4.44432832556715e-05
"18","lh.7PC_ROI.label","PPA",-2.99089997750522e-05,0.179204816692061,0.0208801754678545,2.20853107244108e-05
"19","lh.7PL_ROI.label","PPA",-6.24342173284107e-06,0.871766372317628,0.000304683715576056,3.85640514241167e-05
"20","lh.7Pm_ROI.label","PPA",-3.39313828942745e-05,0.388504574383274,0.00865938292172942,3.91489674561219e-05
"21","lh.8Ad_ROI.label","PPA",1.11057083589303e-06,0.961260016837755,2.75931118898671e-05,2.27976827638286e-05
"22","lh.8Av_ROI.label","PPA",6.06706328313238e-05,0.00550740942784862,0.0861685684701219,2.13053123746769e-05
"23","lh.8BL_ROI.label","PPA",-1.39245982533611e-05,0.0475970570673816,0.0448575223237165,6.92867016019223e-06
"24","lh.8BM_ROI.label","PPA",-2.28746628978854e-05,0.00160949480641507,0.109838427858342,7.0220310253406e-06
"25","lh.8C_ROI.label","PPA",9.35557366224237e-05,0.0207731880446576,0.0606058020873223,3.97180604141024e-05
"26","lh.9-46d_ROI.label","PPA",-0.000183341800354093,0.0115703451747545,0.0718517468472848,7.10562487696611e-05
"27","lh.9a_ROI.label","PPA",-6.4754159264444e-05,0.0456639850940626,0.0456367979857974,3.19313811339878e-05
"28","lh.9m_ROI.label","PPA",-5.9209333880095e-05,0.00857369061947207,0.0776299718531386,2.20079112690192e-05
"29","lh.9p_ROI.label","PPA",-3.39312047412058e-05,0.0252839243591119,0.0568477501546679,1.49033642444144e-05
"30","lh.10d_ROI.label","PPA",-7.88366168883884e-05,0.000647505915558902,0.127210637755788,2.22675153691928e-05
"31","lh.10pp_ROI.label","PPA",-0.000109458327309287,0.000616524695172893,0.128141196651277,3.07877727584438e-05
"32","lh.10r_ROI.label","PPA",-9.15540405040233e-05,0.00105604101213139,0.117898324466639,2.70043542712538e-05
"33","lh.10v_ROI.label","PPA",-8.00384987123214e-05,0.000570285955198348,0.129619728475033,2.23649882277172e-05
"34","lh.11l_ROI.label","PPA",-0.000300809795141021,4.77488182063002e-05,0.175827661310686,7.02276547955912e-05
"35","lh.13l_ROI.label","PPA",-0.000357722483360597,0.000127934157702554,0.15767117313684,8.91582824848392e-05
"36","lh.23c_ROI.label","PPA",-0.000126079565708604,0.00118794290430986,0.115650438471984,3.75953228894454e-05
"37","lh.23d_ROI.label","PPA",-3.09202107047347e-05,0.0521484219163714,0.0431451497690483,1.57018296001647e-05
"38","lh.24dd_ROI.label","PPA",-1.68670288845616e-05,0.0493155574592408,0.044191776433214,8.45870763819478e-06
"39","lh.24dv_ROI.label","PPA",-1.15905043731254e-05,0.252954720400405,0.0151689074333163,1.00706345136607e-05
"40","lh.25_ROI.label","PPA",-7.54367230465825e-05,0.00213719136002307,0.104397853855763,2.38256833872524e-05
"41","lh.31a_ROI.label","PPA",-2.308430505083e-06,0.796863026127419,0.000774650157328436,8.94018475870232e-06
"42","lh.31pd_ROI.label","PPA",-0.000106188935677991,0.102387280487094,0.0307213900080538,6.43182065255193e-05
"43","lh.31pv_ROI.label","PPA",-0.000212075323464758,0.206433151832779,0.0184960990278302,0.000166589205324595
"44","lh.33pr_ROI.label","PPA",-6.81186188573327e-06,0.0379232422106429,0.0491407834830851,3.23112440943387e-06
"45","lh.43_ROI.label","PPA",3.98885340442551e-06,0.130495417728681,0.0263886371191743,2.61266174619201e-06
"46","lh.44_ROI.label","PPA",-5.59996670808609e-06,0.393851330240098,0.00846691142004763,6.53472501919562e-06
"47","lh.45_ROI.label","PPA",-1.95768310054361e-05,0.0215522252485911,0.0599008297248987,8.36302859728994e-06
"48","lh.46_ROI.label","PPA",-0.000118515932267433,0.0228784256071514,0.0587582059848791,5.11497893223923e-05
"49","lh.47l_ROI.label","PPA",-8.38569856326515e-06,0.129742315743615,0.0264909302973111,5.48165144799074e-06
"50","lh.47m_ROI.label","PPA",-3.72605895340949e-05,0.0141748403579103,0.0679433918122299,1.48815452602549e-05
"51","lh.47s_ROI.label","PPA",-4.07702104066102e-05,0.0139402607388299,0.068264417323148,1.62421259537265e-05
"52","lh.52_ROI.label","PPA",-0.000125948011928496,0.399708335176239,0.008260297908683,0.000148813758500785
"53","lh.55b_ROI.label","PPA",-4.71881728362621e-06,0.742037897882709,0.00126635128850937,1.42899818955789e-05
"54","lh.A1_ROI.label","PPA",-2.27273774302949e-05,0.00768764735680757,0.0797341226216626,8.32596629290138e-06
"55","lh.A4_ROI.label","PPA",-5.28351041380311e-05,0.0479962613063955,0.0447006760349401,2.63381963931971e-05
"56","lh.A5_ROI.label","PPA",-2.74628950844804e-05,0.23454043936732,0.0163913871217579,2.294036903444e-05
"57","lh.a9-46v_ROI.label","PPA",-0.000155390525620753,0.000334176468840375,0.139717145869274,4.15787176665995e-05
"58","lh.a10p_ROI.label","PPA",-0.000180119738571335,0.000109358290260554,0.160580515910999,4.44073830442314e-05
"59","lh.a24_ROI.label","PPA",-2.63708353948155e-05,0.0287631593470975,0.0543892106527081,1.18569910956725e-05
"60","lh.a24pr_ROI.label","PPA",-4.21910802787177e-06,0.463106871525435,0.00627687673266929,5.72443090403893e-06
"61","lh.a32pr_ROI.label","PPA",-1.28138471467858e-05,0.0141393990627602,0.0679915486796862,5.11579074616503e-06
"62","lh.a47r_ROI.label","PPA",-0.000130027978095276,0.00014567981724745,0.155257041749809,3.27057581130577e-05
"63","lh.AAIC_ROI.label","PPA",-0.000100254819185561,0.0100090853256997,0.0746451104237503,3.80635694330538e-05
"64","lh.AIP_ROI.label","PPA",-0.000191105347122749,0.00346254625342559,0.0951158392301055,6.35614336402693e-05
"65","lh.AVI_ROI.label","PPA",-0.000128921199775155,0.0211819191965426,0.0602326481223526,5.49122590819631e-05
"66","lh.d23ab_ROI.label","PPA",-5.60475030646204e-05,0.327463062645752,0.0111523496272951,5.69099951594659e-05
"67","lh.d32_ROI.label","PPA",-1.89232192105395e-05,0.118683468183404,0.0280725135391963,1.20066562478688e-05
"68","lh.DVT_ROI.label","PPA",-0.0002507693535629,0.304931627877432,0.0122342228300214,0.000242976364241973
"69","lh.EC_ROI.label","PPA",-0.000291752948632531,5.10980171188229e-05,0.174588087136625,6.84059835028314e-05
"70","lh.FEF_ROI.label","PPA",1.04006196165832e-05,0.510375769450856,0.00505487833617068,1.57345453111723e-05
"71","lh.FOP1_ROI.label","PPA",-4.60926886706579e-07,0.84057363256105,0.000473157727060804,2.28442591782003e-06
"72","lh.FOP2_ROI.label","PPA",2.9013555323828e-06,0.663809680419192,0.00220721373633946,6.65196123560192e-06
"73","lh.FOP3_ROI.label","PPA",-2.13429213666276e-06,0.800322993960879,0.000747930893378767,8.41223566423059e-06
"74","lh.FOP4_ROI.label","PPA",-4.44728029320224e-05,0.0596075367922909,0.0406494127834254,2.32973653944884e-05
"75","lh.FOP5_ROI.label","PPA",-2.23323011297086e-05,0.136910867763176,0.0255426745066235,1.48741609798296e-05
"76","lh.FST_ROI.label","PPA",-0.000455309422535314,0.630299125544916,0.00270570225974162,0.00094260356545069
"77","lh.H_ROI.label","PPA",-0.00585961986318157,0.00177474585812378,0.107964658698462,0.0018162283033645
"78","lh.i6-8_ROI.label","PPA",3.45858742809545e-05,0.00330154917160746,0.0960328846911726,1.1442366693895e-05
"79","lh.IFJa_ROI.label","PPA",2.16053833384118e-05,0.113539141831117,0.0288638626856976,1.35137407574156e-05
"80","lh.IFJp_ROI.label","PPA",5.89580858545449e-06,0.827305836222358,0.000556478822237845,2.69431865133234e-05
"81","lh.IFSa_ROI.label","PPA",-7.55692741836607e-05,0.0148709183687784,0.0670214199888234,3.04036027435072e-05
"82","lh.IFSp_ROI.label","PPA",-1.71199134760183e-05,0.178838933859278,0.0209149860982505,1.26308841341993e-05
"83","lh.Ig_ROI.label","PPA",5.19557498905366e-06,0.414567324900467,0.00775515713610077,6.33721608796458e-06
"84","lh.IP0_ROI.label","PPA",0.00012932017528992,0.455287674120359,0.0064985959976433,0.000172421544960407
"85","lh.IP1_ROI.label","PPA",-0.000110403726490694,0.263730415692613,0.0145024490201932,9.81389953599966e-05
"86","lh.IP2_ROI.label","PPA",-0.000254067355182202,0.00507329131975766,0.0877523189645515,8.83337614395937e-05
"87","lh.IPS1_ROI.label","PPA",-0.000235134464127616,0.0333932647733636,0.0515513086118728,0.000108756228202628
"88","lh.LBelt_ROI.label","PPA",-8.68154198953316e-05,0.00152743921398245,0.11084099191441,2.65147269461122e-05
"89","lh.LIPd_ROI.label","PPA",-0.000268433428945312,0.0082567400006679,0.0783565207800918,9.9273030280356e-05
"90","lh.LIPv_ROI.label","PPA",-9.66277890194523e-05,0.0391079125037645,0.0485591432279047,4.61220080753298e-05
"91","lh.LO1_ROI.label","PPA",-0.000365199098385722,0.410715894546173,0.00788353583159543,0.00044177514338103
"92","lh.LO2_ROI.label","PPA",0.000870448759597045,0.0118014178396859,0.0714708428357407,0.000338319714917144
"93","lh.LO3_ROI.label","PPA",8.80580681090462e-05,0.749232976163483,0.00119431428944069,0.000274600368948249
"94","lh.MBelt_ROI.label","PPA",-0.000125620868551616,0.000437857494366513,0.134620614696395,3.43447258666743e-05
"95","lh.MI_ROI.label","PPA",-0.000101782664595253,0.000151528309266734,0.154524564265639,2.56729824467874e-05
"96","lh.MIP_ROI.label","PPA",-0.000196816322174847,0.0488045729663083,0.0443871885946317,9.84745599919864e-05
"97","lh.MST_ROI.label","PPA",-0.00110392791891975,0.021285331886255,0.0601393947500673,0.000470591076894614
"98","lh.MT_ROI.label","PPA",-0.000342758593880217,0.106479767540137,0.0300154285133358,0.000210111230500754
"99","lh.OFC_ROI.label","PPA",-0.000192303416793784,0.000330465771643376,0.139927349400085,5.14107619178604e-05
"100","lh.OP1_ROI.label","PPA",-1.80709937999786e-05,0.219845695053615,0.0174522245545011,1.46212416018517e-05
"101","lh.OP2-3_ROI.label","PPA",2.08413301106783e-06,0.906289937465505,0.000162064481410276,1.76521289071309e-05
"102","lh.OP4_ROI.label","PPA",-8.73439842875502e-06,0.0745879997975528,0.0364978729471697,4.83923078816721e-06
"103","lh.p9-46v_ROI.label","PPA",-4.10604298055978e-05,0.143118013361363,0.0247647689968884,2.77850905114423e-05
"104","lh.p10p_ROI.label","PPA",-9.96774329189186e-05,0.000991746279066161,0.119096933594623,2.92321925079121e-05
"105","lh.p24_ROI.label","PPA",-4.68259094245743e-06,0.188360184614936,0.0200346035167732,3.53144128016064e-06
"106","lh.p24pr_ROI.label","PPA",-8.14572370552018e-06,0.127001689600152,0.0268687572059312,5.28618512261488e-06
"107","lh.p32_ROI.label","PPA",-5.38163533969925e-05,0.00295876810704141,0.098143370937129,1.75915175764355e-05
"108","lh.p32pr_ROI.label","PPA",-1.39640316110043e-05,0.0983749040774536,0.0314436268154944,8.35714105858361e-06
"109","lh.p47r_ROI.label","PPA",-0.000111178907736663,0.00167035647403228,0.109127023088776,3.42542857389151e-05
"110","lh.PBelt_ROI.label","PPA",-0.000107827708998502,0.0103801517203044,0.0739434227724776,4.11481332652121e-05
