"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","mFus",-2.50984808089366e-05,0.544288893981363,0.00429066734768761,4.12289310931802e-05
"2","lh.2_ROI.label","mFus",-0.000212477888832723,0.0608818404333603,0.0402558174600799,0.000111873683082005
"3","lh.3a_ROI.label","mFus",-8.61268561394207e-05,0.49406146673876,0.00545477391847247,0.000125404540113669
"4","lh.3b_ROI.label","mFus",-0.000328256357238188,0.000230811639514123,0.146666520161396,8.53803279601232e-05
"5","lh.4_ROI.label","mFus",9.44362976674491e-05,0.166479528091468,0.0221407851177205,6.76754862151623e-05
"6","lh.5L_ROI.label","mFus",-0.000113067740334087,0.000912445550983763,0.120685956320373,3.29103971981618e-05
"7","lh.5m_ROI.label","mFus",-2.14779925057901e-05,0.00647185515063171,0.0830553924896773,7.69541585604827e-06
"8","lh.5mv_ROI.label","mFus",-0.00019119749282968,2.07839881287919e-05,0.190920730676517,4.24425980231253e-05
"9","lh.6a_ROI.label","mFus",0.000294263923034557,0.000486599051022807,0.13262509941084,8.11481006264741e-05
"10","lh.6d_ROI.label","mFus",3.61805564541848e-05,0.118518963676971,0.0280972380025952,2.29459270958876e-05
"11","lh.6ma_ROI.label","mFus",5.40946962741677e-06,0.74233158539254,0.00126336524882099,1.64008549623585e-05
"12","lh.6mp_ROI.label","mFus",-6.15040284239025e-05,0.00880253641118476,0.077121934096815,2.29423310723093e-05
"13","lh.6r_ROI.label","mFus",0.000121430370502995,0.000252018645763521,0.145019104257462,3.17938917099242e-05
"14","lh.6v_ROI.label","mFus",8.52094740093302e-05,1.72257173401935e-05,0.194297953026088,1.8710775145671e-05
"15","lh.7AL_ROI.label","mFus",-0.000217044246943828,0.0477423851660812,0.0448002661704376,0.000108070174416305
"16","lh.7Am_ROI.label","mFus",-2.44691942577584e-05,0.83789809760198,0.000489393599531213,0.000119243579416751
"17","lh.7m_ROI.label","mFus",0.000577212130629247,1.85652735625383e-05,0.192952412944703,0.00012729480751232
"18","lh.7PC_ROI.label","mFus",-4.57404438896315e-05,0.394922670395734,0.00842879169887253,5.34971249380208e-05
"19","lh.7PL_ROI.label","mFus",0.000283497280143221,0.00374136631897135,0.0936237388687241,9.51176127507723e-05
"20","lh.7Pm_ROI.label","mFus",0.000131554526025195,0.106956199718021,0.0299351484078168,8.07544094172644e-05
"21","lh.8Ad_ROI.label","mFus",0.000112679744254715,0.00185401927741864,0.107126399864563,3.50786897281266e-05
"22","lh.8Av_ROI.label","mFus",0.000439274264309028,1.21003305880765e-08,0.315931760552983,6.9701095525316e-05
"23","lh.8BL_ROI.label","mFus",1.29348702936703e-05,0.162175958512968,0.0225919263684467,9.17432628128932e-06
"24","lh.8BM_ROI.label","mFus",-7.10543265670182e-06,0.500918220112718,0.00528402052955668,1.05125627527586e-05
"25","lh.8C_ROI.label","mFus",0.000796733645985139,2.73729297392534e-10,0.372499242338116,0.000111508599820317
"26","lh.9-46d_ROI.label","mFus",0.000119400119704535,0.00216124231978848,0.104182906820579,3.7754347929181e-05
"27","lh.9a_ROI.label","mFus",-1.93093790810193e-06,0.935710141572448,7.6095020191965e-05,2.38684622641623e-05
"28","lh.9m_ROI.label","mFus",1.49002511713634e-05,0.360786768081348,0.00972010667401837,1.62176464611358e-05
"29","lh.9p_ROI.label","mFus",7.79390862948393e-06,0.5319390329324,0.00455891501898987,1.24188996224211e-05
"30","lh.10d_ROI.label","mFus",1.64811199463598e-05,0.268880113419754,0.0141956108159189,1.48100261742206e-05
"31","lh.10pp_ROI.label","mFus",6.02369000122205e-06,0.696345742991151,0.00177968472902678,1.53834963585438e-05
"32","lh.10r_ROI.label","mFus",-1.63305777198357e-05,0.239671907189898,0.0160394283976045,1.37926186213268e-05
"33","lh.10v_ROI.label","mFus",-8.58531090845548e-06,0.402353665297158,0.00816839731209401,1.02013429005408e-05
"34","lh.11l_ROI.label","mFus",7.5738486396674e-05,0.0450151177546607,0.0459060447267791,3.72330000127267e-05
"35","lh.13l_ROI.label","mFus",-4.49903363281416e-06,0.889145761500165,0.00022720110462755,3.21821795256639e-05
"36","lh.23c_ROI.label","mFus",-0.000259453600060448,0.00300653394805585,0.0978351138396304,8.49583477918272e-05
"37","lh.23d_ROI.label","mFus",-6.44943708136196e-05,0.0210726157927813,0.0603317170458863,2.74465034903447e-05
"38","lh.24dd_ROI.label","mFus",-2.89278070005207e-05,0.0699156302446471,0.037691001816399,1.57617602971835e-05
"39","lh.24dv_ROI.label","mFus",-6.72710426074845e-06,0.696973574200724,0.00177195675308186,1.72173876277427e-05
"40","lh.25_ROI.label","mFus",-1.29288310527472e-05,0.203891751848792,0.0187028164873563,1.00984984842162e-05
"41","lh.31a_ROI.label","mFus",-2.08230615656944e-05,0.494165540972986,0.00545215255053593,3.03266332343369e-05
"42","lh.31pd_ROI.label","mFus",0.000156796268071915,0.160974519666962,0.0227202790264403,0.000110889164012582
"43","lh.31pv_ROI.label","mFus",0.000277420023398485,0.00924252038128308,0.076181339790477,0.000104173592272874
"44","lh.33pr_ROI.label","mFus",-1.4134857049199e-06,0.747341429831367,0.00121302710339285,4.3736434694311e-06
