"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","mOTS",-5.0099271169007e-05,0.319129435847908,0.0115409382427978,4.9996657105346e-05
"2","lh.2_ROI.label","mOTS",-0.000751564679357806,0.000144096859657188,0.155460277492242,0.000188893693000003
"3","lh.3a_ROI.label","mOTS",-0.000334585620063402,0.0603099146139008,0.0404313939402319,0.000175766742608501
"4","lh.3b_ROI.label","mOTS",-0.000733519251025327,7.50539980826998e-07,0.248947980136319,0.000137386163611049
"5","lh.4_ROI.label","mOTS",6.15621715364816e-05,0.419280782462375,0.00760040455635163,7.58559478700932e-05
"6","lh.5L_ROI.label","mOTS",-0.000267649747065192,4.57417155136455e-05,0.176612163792048,6.23174292720586e-05
"7","lh.5m_ROI.label","mOTS",-5.84187724450293e-05,5.04411326187912e-06,0.216105753517648,1.19977214557079e-05
"8","lh.5mv_ROI.label","mOTS",-0.000474716943179839,8.84039375583914e-08,0.284368828104692,8.12061904825555e-05
"9","lh.6a_ROI.label","mOTS",0.000292284863347032,0.00803741695266846,0.0788758294223801,0.000107707071806386
"10","lh.6d_ROI.label","mOTS",2.64003405113814e-05,0.453236036019081,0.00655776102244711,3.50391708284685e-05
"11","lh.6ma_ROI.label","mOTS",-2.50947506717905e-05,0.224945644360744,0.0170747754964806,2.05312976227683e-05
"12","lh.6mp_ROI.label","mOTS",-0.000187144469746001,0.000485093756994869,0.132683715087496,5.15950112161098e-05
"13","lh.6r_ROI.label","mOTS",0.000233643829272484,5.6895944803962e-06,0.213989410005971,4.82862132243428e-05
"14","lh.6v_ROI.label","mOTS",0.00015608738526794,6.63587612906398e-13,0.453322595452838,1.84833402591677e-05
"15","lh.7AL_ROI.label","mOTS",-0.0004914187347712,0.00154699310561147,0.110597317744341,0.000150272462789788
"16","lh.7Am_ROI.label","mOTS",-0.000138505402923716,0.311663727464178,0.0119004205101832,0.000136093283621659
"17","lh.7m_ROI.label","mOTS",0.000905144065795902,1.75770425870507e-10,0.378815517457002,0.000124987016584228
"18","lh.7PC_ROI.label","mOTS",-0.000258899798523749,0.00532039502733477,0.0868349843946283,9.05335924666857e-05
"19","lh.7PL_ROI.label","mOTS",0.000355060363836662,0.000317384622805727,0.140687407049432,9.4623921723637e-05
"20","lh.7Pm_ROI.label","mOTS",0.000275766008349731,0.00586826224643834,0.084944246478437,9.75996591933192e-05
"21","lh.8Ad_ROI.label","mOTS",0.000230456526829926,1.82625820706163e-05,0.193247918576286,5.07752910613865e-05
"22","lh.8Av_ROI.label","mOTS",0.000693781656642325,7.32612580618893e-14,0.480299333542248,7.78205386090503e-05
"23","lh.8BL_ROI.label","mOTS",1.35738313595473e-05,0.315798017588468,0.0116999912105423,1.34525574525959e-05
"24","lh.8BM_ROI.label","mOTS",-7.52500194186314e-06,0.593445876059454,0.00332766300293598,1.40431302455987e-05
"25","lh.8C_ROI.label","mOTS",0.00123851880332687,6.02430448198654e-18,0.581514845654814,0.000113295589556663
"26","lh.9-46d_ROI.label","mOTS",0.000148403147009764,0.00453179024523616,0.0899291125392509,5.09074498476594e-05
"27","lh.9a_ROI.label","mOTS",1.22826175391283e-05,0.700108178621451,0.00173366140795919,3.17821136159533e-05
"28","lh.9m_ROI.label","mOTS",-9.93687530929135e-06,0.687569385200997,0.00188974849282537,2.46256594262835e-05
"29","lh.9p_ROI.label","mOTS",1.59843056645831e-05,0.359106637833572,0.00978800021072726,1.73365093334384e-05
"30","lh.10d_ROI.label","mOTS",-2.50916708549607e-06,0.895146900316415,0.000203131066885748,1.89822665609805e-05
"31","lh.10pp_ROI.label","mOTS",-5.937406503876e-06,0.760275019284827,0.00108825379490185,1.93975117279437e-05
"32","lh.10r_ROI.label","mOTS",-4.123827838739e-05,0.0107964075808717,0.0731856621589269,1.58246702495281e-05
"33","lh.10v_ROI.label","mOTS",7.53913511836014e-06,0.566954190487768,0.00382656900074619,1.31170146640085e-05
"34","lh.11l_ROI.label","mOTS",0.000137973510072543,0.000149725503902478,0.154747339159554,3.47718794698037e-05
"35","lh.13l_ROI.label","mOTS",8.32532897409226e-05,0.0119018696221201,0.0713075904886815,3.23981524817441e-05
"36","lh.23c_ROI.label","mOTS",-0.000616222144600213,1.15349700620102e-05,0.201472450244335,0.000132289444701172
"37","lh.23d_ROI.label","mOTS",-0.000118663428903339,0.0123985644484402,0.0705202238443617,4.64548218819967e-05
"38","lh.24dd_ROI.label","mOTS",-0.000110404309970866,0.00014254773121486,0.155661310010464,2.77271228574508e-05
"39","lh.24dv_ROI.label","mOTS",-4.30160601186735e-05,0.0821688241099626,0.0347205631616449,2.44576402000613e-05
"40","lh.25_ROI.label","mOTS",-2.42056410177641e-05,0.0476895934175853,0.0448210440929757,1.20494923661722e-05
"41","lh.31a_ROI.label","mOTS",-1.44873328974133e-05,0.789753400260563,0.00083112537056313,5.41658287868625e-05
"42","lh.31pd_ROI.label","mOTS",0.00018683465771206,0.21124315134957,0.0181128475854719,0.000148335683645525
"43","lh.31pv_ROI.label","mOTS",0.000381368425936535,0.00997513327953967,0.0747106133690149,0.000144724863310919
"44","lh.33pr_ROI.label","mOTS",-6.33569051886736e-06,0.277719357335384,0.0136854737425661,5.79992698387168e-06
"45","lh.43_ROI.label","mOTS",8.5430489980102e-05,1.09931701361036e-08,0.317421686047048,1.3508950728624e-05
"46","lh.44_ROI.label","mOTS",0.000187295532660839,6.76656358451859e-17,0.557508783763143,1.79930448740241e-05
"47","lh.45_ROI.label","mOTS",0.000185200241729748,6.79002993793694e-18,0.580358082953154,1.6981800557887e-05
"48","lh.46_ROI.label","mOTS",0.000416026133635906,3.90296160044517e-07,0.259939683577061,7.569525434967e-05
"49","lh.47l_ROI.label","mOTS",4.28828542664588e-05,1.10572733840557e-07,0.280735157419854,7.40168285628477e-06
"50","lh.47m_ROI.label","mOTS",1.22354086767714e-05,0.011217923485093,0.0724476739771744,4.72091564564823e-06
"51","lh.47s_ROI.label","mOTS",4.41600953883581e-05,4.94412996019583e-06,0.216457158783385,9.05995778196345e-06
"52","lh.52_ROI.label","mOTS",-0.000305394229691896,0.0405403660278645,0.0478795954141231,0.00014685282370923
"53","lh.55b_ROI.label","mOTS",0.000290506942216951,4.70458053545478e-08,0.294522531424173,4.84830129707024e-05
"54","lh.A1_ROI.label","mOTS",-7.57699937512093e-05,0.0031685226115778,0.0968248313409464,2.49540272877261e-05
"55","lh.A4_ROI.label","mOTS",-0.000122767370332646,0.00920997036017842,0.0762493704064376,4.60779310385528e-05
"56","lh.A5_ROI.label","mOTS",-7.72652414363332e-05,0.00741113077083905,0.0804408102958782,2.81699818069728e-05
"57","lh.a9-46v_ROI.label","mOTS",0.000102769898384712,0.000587311814110431,0.129061975522151,2.87879787354521e-05
