"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","pFus",-2.08599912446157e-07,0.993381415762565,8.04796955214179e-07,2.50738809260955e-05
"2","lh.2_ROI.label","pFus",-0.000208305462488591,0.0574477962641985,0.041336989023934,0.000108172034712808
"3","lh.3a_ROI.label","pFus",-0.000118734011201607,0.372949857166509,0.0092411888098149,0.000132570216078387
"4","lh.3b_ROI.label","pFus",-0.00025915755379111,0.00230718079052921,0.102927473977227,8.25016752151959e-05
"5","lh.4_ROI.label","pFus",0.000149643478280195,0.0232473869100313,0.058452268580745,6.47633124846063e-05
"6","lh.5L_ROI.label","pFus",-0.00014379632469156,0.000972910135472995,0.119462678313986,4.20975014828981e-05
"7","lh.5m_ROI.label","pFus",-2.52503629147111e-05,0.0122925706008166,0.070685548739826,9.87266560280558e-06
"8","lh.5mv_ROI.label","pFus",-0.000170721054445603,0.000286602586264927,0.142605369896811,4.51398694501753e-05
"9","lh.6a_ROI.label","pFus",0.000414741632175156,5.41192904830409e-05,0.173536600996895,9.75988444973784e-05
"10","lh.6d_ROI.label","pFus",6.69053985551487e-05,0.0134107415452729,0.0690095582156654,2.64990267794866e-05
"11","lh.6ma_ROI.label","pFus",3.58877019459066e-05,0.0647200582376704,0.0391203742741277,1.91791526402243e-05
"12","lh.6mp_ROI.label","pFus",-3.69638252805891e-05,0.35347198409291,0.010018883842844,3.96215505903437e-05
"13","lh.6r_ROI.label","pFus",5.99327661004427e-05,0.0544910727121959,0.0423233012596714,3.07421890669699e-05
"14","lh.6v_ROI.label","pFus",3.65027854862766e-05,0.00280482535811248,0.0991716304441156,1.18632608927023e-05
"15","lh.7AL_ROI.label","pFus",-0.000276731506484849,0.00170450785236948,0.108739007575782,8.54317197486942e-05
"16","lh.7Am_ROI.label","pFus",-0.00014098756762011,0.182819983375324,0.0205405154372247,0.000104983044144352
"17","lh.7m_ROI.label","pFus",0.000377065369082871,0.00148765601093053,0.111346449162081,0.000114867052163557
"18","lh.7PC_ROI.label","pFus",-8.81102615959442e-05,0.0527282097677895,0.0429382273356211,4.4856480413885e-05
"19","lh.7PL_ROI.label","pFus",0.00015658793479733,0.0578528494527634,0.0412060037647307,8.14500724091507e-05
"20","lh.7Pm_ROI.label","pFus",7.00685878033207e-05,0.287912732168795,0.013121682206166,6.55256269531091e-05
