"","glasser","froi","slope","pval","rsquared","standard_error"
"1","lh.1_ROI.label","pOTS",-2.65192545545557e-05,0.267611473664517,0.0142705263004199,2.37668137303452e-05
"2","lh.2_ROI.label","pOTS",-0.000362395374927634,0.00166428805442623,0.109196792549457,0.000111614178159467
"3","lh.3a_ROI.label","pOTS",-0.000314677565038712,0.0255409144228718,0.0566546856361628,0.000138463079583045
"4","lh.3b_ROI.label","pOTS",-0.00037624853807593,2.63500400232974e-05,0.186637090933049,8.46971504436406e-05
"5","lh.4_ROI.label","pOTS",3.33884310212999e-05,0.56820546712153,0.00380197278511524,5.82794067758077e-05
"6","lh.5L_ROI.label","pOTS",-0.000179677720486997,0.000871610417031647,0.121558353793973,5.20845668917845e-05
"7","lh.5m_ROI.label","pOTS",-3.09527854425844e-05,0.00382828951272547,0.0931811528750517,1.04123016384139e-05
"8","lh.5mv_ROI.label","pOTS",-0.000239109420935731,3.56415508218852e-05,0.181158820401573,5.48172895064482e-05
"9","lh.6a_ROI.label","pOTS",0.000357838131631312,0.000139708262612978,0.156035442166352,8.97403726101765e-05
"10","lh.6d_ROI.label","pOTS",6.38100101635505e-05,0.023842467864885,0.0579690872341031,2.77379227496743e-05
"11","lh.6ma_ROI.label","pOTS",4.35233714356436e-05,0.0285469732763801,0.0545329041576804,1.95419186105486e-05
"12","lh.6mp_ROI.label","pOTS",-7.45898400596914e-05,0.0888226666508295,0.0332983122380032,4.33376719710381e-05
"13","lh.6r_ROI.label","pOTS",4.35886712516731e-05,0.0420292866644203,0.0471989864129256,2.11183106331607e-05
"14","lh.6v_ROI.label","pOTS",4.33689132030946e-05,7.52960073588648e-05,0.167472540163371,1.04269380499622e-05
"15","lh.7AL_ROI.label","pOTS",-0.000356029588907514,0.000837964590600714,0.122308094858451,0.000102844320464446
"16","lh.7Am_ROI.label","pOTS",-0.000231580905879691,0.0333189709852963,0.0515935841950284,0.000107066329640106
"17","lh.7m_ROI.label","pOTS",0.000364621888104418,0.00201761005863089,0.105503529571522,0.000114485195770052
"18","lh.7PC_ROI.label","pOTS",-0.000150700737809647,0.0028715976547231,0.0987189019385346,4.9101654538999e-05
"19","lh.7PL_ROI.label","pOTS",0.000165278305285329,0.0158393068080397,0.0658087291877212,6.71494988375701e-05
"20","lh.7Pm_ROI.label","pOTS",4.14260847356988e-05,0.524739752422747,0.0047205157800439,6.48638111660019e-05
"21","lh.8Ad_ROI.label","pOTS",0.000202863406310813,6.58169006856085e-07,0.251167157109809,3.77716106911743e-05
"22","lh.8Av_ROI.label","pOTS",0.000287099941041772,6.59917893854882e-14,0.481545884906375,3.21233036307443e-05
"23","lh.8BL_ROI.label","pOTS",2.33786178181957e-05,0.000541128026173338,0.130614270766972,6.50400017507914e-06
"24","lh.8BM_ROI.label","pOTS",1.40320022026642e-05,0.0426592749505815,0.0469184602562016,6.81967332802208e-06
"25","lh.8C_ROI.label","pOTS",0.000433311294496884,1.88274899533189e-14,0.496280861418776,4.70740154984998e-05
"26","lh.9-46d_ROI.label","pOTS",0.000134624070711029,1.30470486229889e-06,0.239541160148127,2.58655236313493e-05
"27","lh.9a_ROI.label","pOTS",2.72567187209388e-05,0.0197572934036038,0.0615665155905112,1.14750294041715e-05
"28","lh.9m_ROI.label","pOTS",9.61767823229781e-06,0.269522253054827,0.0141578570875778,8.65418042644143e-06
"29","lh.9p_ROI.label","pOTS",2.8632219358977e-05,0.000195726444487379,0.149751133390535,7.35688146761629e-06
"30","lh.10d_ROI.label","pOTS",1.00416941881797e-05,0.132987718767311,0.0260546730027202,6.6203696817066e-06
"31","lh.10pp_ROI.label","pOTS",1.45523210285602e-05,0.0259857411483495,0.0563251376597455,6.42307663231277e-06
"32","lh.10r_ROI.label","pOTS",-4.19590699810387e-06,0.564945365149747,0.00386627603681999,7.26254808274319e-06
"33","lh.10v_ROI.label","pOTS",6.04749277658495e-06,0.233452809290081,0.0164671677080542,5.03977455424384e-06
"34","lh.11l_ROI.label","pOTS",6.57035235221173e-05,0.000569671534541253,0.129640162603587,1.8357733985348e-05
"35","lh.13l_ROI.label","pOTS",-2.59846810232641e-06,0.892317475868974,0.000214308738072873,1.91382261994247e-05
"36","lh.23c_ROI.label","pOTS",-0.00011552018256365,0.133234760133312,0.0260219449330287,7.62102436495674e-05
"37","lh.23d_ROI.label","pOTS",-2.54624187276699e-05,0.129843372569477,0.0264771660662242,1.66489846029874e-05
"38","lh.24dd_ROI.label","pOTS",8.7114315028182e-07,0.976365459600503,1.02651542464977e-05,2.93194170901841e-05
"39","lh.24dv_ROI.label","pOTS",4.83258661887954e-05,0.00547808028625117,0.0862715734856215,1.69591909451216e-05
"40","lh.25_ROI.label","pOTS",-1.352145988073e-05,0.0296039199326988,0.0538406730178437,6.11225206198304e-06
"41","lh.31a_ROI.label","pOTS",3.78619921115163e-06,0.862126250951443,0.000352687659612602,2.1736144086189e-05
"42","lh.31pd_ROI.label","pOTS",-7.47981211773134e-05,0.432742329859962,0.0071722781120963,9.48964247053482e-05
"43","lh.31pv_ROI.label","pOTS",0.000103078771335531,0.176480607617516,0.0211413222904746,7.56334536122989e-05
"44","lh.33pr_ROI.label","pOTS",1.72185629756271e-06,0.454925143578758,0.00650902039343107,2.29388597318241e-06
