correlation,froi1,froi2,same_cyto,same_category,perm
0.6983797976067451,mFus,mOTS,1,0,1
0.9228233258767,mFus,OTS,1,0,1
0.12129595102198241,mFus,PPA,0,0,1
0.4824612600266843,mFus,pFus,0,1,1
0.25343012485452454,mFus,pOTS,0,0,1
0.7615889683259842,mOTS,OTS,1,0,1
0.07619738255154672,mOTS,PPA,0,0,1
0.3931698915083378,mOTS,pFus,0,0,1
0.25588212865494475,mOTS,pOTS,0,1,1
0.1262010057701754,OTS,PPA,0,0,1
0.3894718428143532,OTS,pFus,0,0,1
0.26191210758790384,OTS,pOTS,0,0,1
0.29330804616667633,PPA,pFus,0,0,1
0.27564849285472853,PPA,pOTS,0,0,1
0.8074388247717965,pFus,pOTS,1,0,1
0.6570124901372034,mFus,mOTS,1,0,2
0.853998974623923,mFus,OTS,1,0,2
0.19129778118848634,mFus,PPA,0,0,2
0.4539134280598949,mFus,pFus,0,1,2
0.32743463385817784,mFus,pOTS,0,0,2
0.7995034119979922,mOTS,OTS,1,0,2
0.10482092597849839,mOTS,PPA,0,0,2
0.3143986558348709,mOTS,pFus,0,0,2
0.27314338012466505,mOTS,pOTS,0,1,2
0.10494253741133025,OTS,PPA,0,0,2
0.3102791771912453,OTS,pFus,0,0,2
0.23901411915417006,OTS,pOTS,0,0,2
0.3029682522238112,PPA,pFus,0,0,2
0.2650830829522015,PPA,pOTS,0,0,2
0.8945498512472619,pFus,pOTS,1,0,2
0.6086313996095724,mFus,mOTS,1,0,3
0.8523479553271713,mFus,OTS,1,0,3
0.147139913005958,mFus,PPA,0,0,3
0.5248068629554108,mFus,pFus,0,1,3
0.36496485370794973,mFus,pOTS,0,0,3
0.7213599391288443,mOTS,OTS,1,0,3
0.0830040955229815,mOTS,PPA,0,0,3
0.2988931150107642,mOTS,pFus,0,0,3
0.28053520169376783,mOTS,pOTS,0,1,3
0.0775124981116591,OTS,PPA,0,0,3
0.27789300958783303,OTS,pFus,0,0,3
0.13206153810730442,OTS,pOTS,0,0,3
0.24989513841173797,PPA,pFus,0,0,3
0.23698713473196764,PPA,pOTS,0,0,3
0.88068941610121,pFus,pOTS,1,0,3
0.6406360442923231,mFus,mOTS,1,0,4
0.9173037389518641,mFus,OTS,1,0,4
0.154778673702246,mFus,PPA,0,0,4
0.5138140862373488,mFus,pFus,0,1,4
0.27044564306361885,mFus,pOTS,0,0,4
0.7910005524506116,mOTS,OTS,1,0,4
0.05714219065684034,mOTS,PPA,0,0,4
0.2997992133068232,mOTS,pFus,0,0,4
0.14839595378029086,mOTS,pOTS,0,1,4
0.12431696263926387,OTS,PPA,0,0,4
0.37279413065503453,OTS,pFus,0,0,4
0.13185994685878566,OTS,pOTS,0,0,4
0.28768813258619597,PPA,pFus,0,0,4
0.2863085055683433,PPA,pOTS,0,0,4
