"","glasser","froi","slope","pval","rsquared","standard_error"
"1","rh.1_ROI.label","PPA",-2.96510353793517e-05,0.0335764090835855,0.0514475037700826,1.37290083512317e-05
"2","rh.2_ROI.label","PPA",-0.000258938450523427,4.1884539526057e-05,0.178219708720444,5.99580244896558e-05
"3","rh.3a_ROI.label","PPA",-0.000158692048185285,2.69777206321877e-05,0.18621113514195,3.5773298598992e-05
"4","rh.3b_ROI.label","PPA",-0.000179546649366292,3.03455493688788e-06,0.224983862896277,3.59341823508932e-05
"5","rh.4_ROI.label","PPA",-0.000101917890083151,0.00360785527644705,0.0943238846837296,3.40546810101353e-05
"6","rh.5L_ROI.label","PPA",-3.993313619501e-05,0.00071843043828088,0.125236113555447,1.13805912567642e-05
"7","rh.5m_ROI.label","PPA",-1.72505657833434e-05,0.00718236399256971,0.0810457118855591,6.26377359425858e-06
"8","rh.5mv_ROI.label","PPA",-0.000159072058870851,6.43743886540505e-06,0.211814069981015,3.30888453817006e-05
"9","rh.6a_ROI.label","PPA",-5.15704844767436e-06,0.874280111771819,0.000292758017824475,3.24963067675307e-05
"10","rh.6d_ROI.label","PPA",-1.04763589651507e-05,0.358504239447837,0.00981244837351706,1.13483098182638e-05
"11","rh.6ma_ROI.label","PPA",-9.2903394218649e-07,0.949330887921251,4.72288199754288e-05,1.45770133779524e-05
"12","rh.6mp_ROI.label","PPA",-4.96902585744879e-05,0.0194805447062698,0.0618369206942434,2.08707123510691e-05
"13","rh.6r_ROI.label","PPA",-4.80039072585453e-05,0.000560057196441922,0.129962779278614,1.3393274917712e-05
"14","rh.6v_ROI.label","PPA",-1.40386736249999e-05,0.0164199819075821,0.0651169725158483,5.73599004953434e-06
"15","rh.7AL_ROI.label","PPA",-0.000143338625899765,0.000427805595001064,0.13505934809086,3.91151357030168e-05
"16","rh.7Am_ROI.label","PPA",-0.000128237440747322,0.00694832866688601,0.0816848341892026,4.63650549644047e-05
"17","rh.7m_ROI.label","PPA",-2.11233889337886e-05,0.760257383082677,0.00108841889687539,6.90048883306942e-05
"18","rh.7PC_ROI.label","PPA",-8.36579295780869e-05,0.00115467099663031,0.116193240490257,2.48797558392712e-05
"19","rh.7PL_ROI.label","PPA",1.12072665624306e-05,0.806589725829746,0.000700802658989035,4.56352437800609e-05
"20","rh.7Pm_ROI.label","PPA",-6.89879228472645e-05,0.136672214010708,0.0255733564906156,4.59202826048188e-05
"21","rh.8Ad_ROI.label","PPA",-8.50928173239801e-06,0.728678119734506,0.00140633989047638,2.44507920293502e-05
"22","rh.8Av_ROI.label","PPA",-2.24123005471138e-05,0.232101914911712,0.0165618791582745,1.86232693982202e-05
"23","rh.8BL_ROI.label","PPA",-1.94057821366685e-05,0.11257408129027,0.0290166464364058,1.2104983700906e-05
"24","rh.8BM_ROI.label","PPA",-7.73275545433433e-06,0.468355334685982,0.00613133689104282,1.06162701001687e-05
"25","rh.8C_ROI.label","PPA",-1.42961801416525e-05,0.462352352756592,0.00629801442094763,1.93640876493461e-05
"26","rh.9-46d_ROI.label","PPA",-0.000118187531406584,0.074361736946011,0.0365538143571161,6.5428929667774e-05
"27","rh.9a_ROI.label","PPA",-4.87278365632915e-05,0.0109638127084936,0.0728891602322924,1.87396838722476e-05
"28","rh.9m_ROI.label","PPA",-6.77987751011659e-05,0.00327804422854727,0.0961704803308462,2.24127419173349e-05
"29","rh.9p_ROI.label","PPA",-2.87582650510184e-05,0.174940539896823,0.0212909902522978,2.1025305703616e-05
"30","rh.10d_ROI.label","PPA",-5.67814925843451e-05,6.70555686437843e-05,0.169604618425369,1.35481876815601e-05
"31","rh.10pp_ROI.label","PPA",-0.000184897829583653,7.0154250495275e-06,0.210296541830649,3.86365679940369e-05
"32","rh.10r_ROI.label","PPA",-8.26501700925389e-05,7.1415931668127e-06,0.209981640346971,1.72871124146905e-05
"33","rh.10v_ROI.label","PPA",-9.29659688899535e-05,2.37381582384824e-07,0.268201978804322,1.65592018770866e-05
"34","rh.11l_ROI.label","PPA",-0.000311040261669552,6.98929120405268e-06,0.210362463471048,6.49826101240827e-05
"35","rh.13l_ROI.label","PPA",-0.000158926391018526,9.33490880628428e-06,0.205237539687557,3.37238437566471e-05
"36","rh.23c_ROI.label","PPA",-0.000156872996834845,0.00201206483886908,0.10555636751192,4.92417226475661e-05
"37","rh.23d_ROI.label","PPA",1.32333037235191e-05,0.405274097147899,0.00806794527104308,1.58226253664013e-05
"38","rh.24dd_ROI.label","PPA",-2.56489353181691e-05,0.0331869597568714,0.0516689416941627,1.1849098799173e-05
"39","rh.24dv_ROI.label","PPA",-1.77960567449659e-05,0.285514701513299,0.0132520466291804,1.65590796731666e-05
"40","rh.25_ROI.label","PPA",-0.000123964887470344,4.83988390075526e-07,0.256338829962234,2.2768258777213e-05
"41","rh.31a_ROI.label","PPA",-2.09008387131289e-05,0.0850159232826987,0.0340975430912007,1.19955338395826e-05
"42","rh.31pd_ROI.label","PPA",-0.000240090967201692,0.00061717787629561,0.128121105012299,6.75374004268133e-05
"43","rh.31pv_ROI.label","PPA",-0.000131285032637287,0.122753662578362,0.0274723850302056,8.42303837943435e-05
"44","rh.33pr_ROI.label","PPA",-5.5453074255042e-06,0.374183579154295,0.00919381516822818,6.20758782288255e-06
"45","rh.43_ROI.label","PPA",-9.90552164078073e-06,0.0157866255021977,0.0658727510151732,4.02233506886459e-06
"46","rh.44_ROI.label","PPA",-3.04452381262397e-05,0.00159323276622572,0.110033030328099,9.33674627386921e-06
"47","rh.45_ROI.label","PPA",-1.4842375921047e-05,0.00445589579611675,0.090254765829496,5.08134899649394e-06
"48","rh.46_ROI.label","PPA",-8.79295129916115e-05,0.0396027496318353,0.0483215396786908,4.20784932495165e-05
