"","glasser","froi","slope","pval","rsquared","standard_error"
"1","rh.1_ROI.label","mFus",1.58155155657871e-05,0.421336887010277,0.00753369919301298,1.95743736912747e-05
"2","rh.2_ROI.label","mFus",-0.000229127995377753,0.0110672490664618,0.07270822337889,8.82359097249767e-05
"3","rh.3a_ROI.label","mFus",-1.34486000721142e-05,0.781374890693423,0.000900416705417512,4.83070448133558e-05
"4","rh.3b_ROI.label","mFus",-0.000142812861066354,0.00123468431578823,0.114912794863992,4.2739253434905e-05
"5","rh.4_ROI.label","mFus",6.79498699510769e-05,0.120592659360327,0.0277882668675454,4.33400195384357e-05
"6","rh.5L_ROI.label","mFus",-6.67843293868715e-05,0.000430218648449566,0.134953104867502,1.82328151583553e-05
"7","rh.5m_ROI.label","mFus",-1.88024600097549e-05,0.011704672666794,0.071629398183657,7.29928778385538e-06
"8","rh.5mv_ROI.label","mFus",-0.000165924017607319,0.00121160252481832,0.115273534666488,4.95678102549343e-05
"9","rh.6a_ROI.label","mFus",0.000209173249752204,5.30901842866964e-05,0.173888128826364,4.91633403097913e-05
"10","rh.6d_ROI.label","mFus",4.27708648300881e-05,0.0109276102078952,0.0729528933570774,1.64410082439376e-05
"11","rh.6ma_ROI.label","mFus",4.9034165540328e-05,0.0229554199838104,0.0586939513670002,2.11747510977047e-05
"12","rh.6mp_ROI.label","mFus",2.78333468708498e-06,0.920186144516152,0.000117416693126799,2.76965570682356e-05
"13","rh.6r_ROI.label","mFus",-2.65052276148415e-06,0.711653882938155,0.00159671421143697,7.14696603096575e-06
"14","rh.6v_ROI.label","mFus",2.25298511575222e-06,0.681902224570608,0.0019628589687876,5.47820021140441e-06
"15","rh.7AL_ROI.label","mFus",-0.000170992854408839,0.00434452359853942,0.0907428017908724,5.8366818104514e-05
"16","rh.7Am_ROI.label","mFus",-6.57056371088883e-05,0.537456009484259,0.0044377012407184,0.000106122774460802
"17","rh.7m_ROI.label","mFus",0.000155515958259289,0.187525328723111,0.0201097414887765,0.000117060725486969
"18","rh.7PC_ROI.label","mFus",-0.000105662477047583,0.0448171029071197,0.0459890100506859,5.18944866627974e-05
"19","rh.7PL_ROI.label","mFus",0.000156726667127504,0.0790700141050347,0.0354252260698997,8.81871499636725e-05
"20","rh.7Pm_ROI.label","mFus",-5.63071388459728e-06,0.94841627263918,4.89515994585547e-05,8.67801029565041e-05
"21","rh.8Ad_ROI.label","mFus",0.00018891239751125,0.000309591951642903,0.141155014143352,5.02481956529538e-05
"22","rh.8Av_ROI.label","mFus",0.000178261945542111,1.39212637076274e-06,0.238431096214668,3.43544159855795e-05
"23","rh.8BL_ROI.label","mFus",5.02869110554676e-05,0.0350643808951767,0.0506250413405564,2.3482369872846e-05
"24","rh.8BM_ROI.label","mFus",2.79038197947996e-05,0.0574581628583843,0.0413336247057676,1.44909358697804e-05
"25","rh.8C_ROI.label","mFus",0.000282448779073266,1.11483329563053e-09,0.352068352304418,4.13182176365184e-05
"26","rh.9-46d_ROI.label","mFus",0.000123954441480475,0.00112262627428675,0.116730865236826,3.67677066639894e-05
"27","rh.9a_ROI.label","mFus",3.44981971018546e-05,0.0489036261511167,0.0443491432343942,1.72684828315514e-05
"28","rh.9m_ROI.label","mFus",1.9919473927843e-05,0.321661444261211,0.0114214865428352,1.99835621807991e-05
"29","rh.9p_ROI.label","mFus",2.98180134134617e-05,0.19208592528578,0.0197038792399829,2.26794361787818e-05
"30","rh.10d_ROI.label","mFus",1.52079876181611e-05,0.146870789760894,0.0243123528151057,1.03887772190905e-05
"31","rh.10pp_ROI.label","mFus",-3.98573057363178e-05,0.065600120001204,0.0388699687775124,2.1371878187114e-05
"32","rh.10r_ROI.label","mFus",7.25042166409858e-07,0.960381750368666,2.88594326602371e-05,1.4553380279824e-05
"33","rh.10v_ROI.label","mFus",-3.06148283770396e-06,0.807358900093571,0.000695130089366809,1.2516951273729e-05
"34","rh.11l_ROI.label","mFus",-3.16136789769029e-05,0.318763241941062,0.0115583159980657,3.15249246654828e-05
"35","rh.13l_ROI.label","mFus",2.49300435129042e-05,0.278426067374706,0.0136455583807852,2.28557068588248e-05
"36","rh.23c_ROI.label","mFus",-0.000134602592485029,0.0587597472758487,0.0409161679862172,7.02724357980283e-05
"37","rh.23d_ROI.label","mFus",-3.96406782384935e-05,0.0989578595157342,0.0313367502771157,2.37657368580854e-05
"38","rh.24dd_ROI.label","mFus",-1.7961846169799e-05,0.225275132183982,0.0170507382975987,1.47060386515623e-05
"39","rh.24dv_ROI.label","mFus",9.41595655986944e-06,0.545283829242108,0.00426953912832351,1.55058514189534e-05
"40","rh.25_ROI.label","mFus",-4.49368153471595e-05,3.58610573200412e-05,0.181047164219181,1.03059171650108e-05
"41","rh.31a_ROI.label","mFus",-2.81518626310744e-05,0.346172543328832,0.0103254837065897,2.97200064905363e-05
"42","rh.31pd_ROI.label","mFus",-6.34079799250097e-05,0.51771632806941,0.00488198751068011,9.76188424502486e-05
"43","rh.31pv_ROI.label","mFus",0.000185049742008715,0.0740444842343077,0.0366325552272169,0.000102329684432666
"44","rh.33pr_ROI.label","mFus",-1.10400460838288e-05,0.0351772364968767,0.0505641288280697,5.15861615724555e-06
"45","rh.43_ROI.label","mFus",-5.81420725744544e-06,0.122726916317363,0.0274762574682557,3.730032372008e-06
"46","rh.44_ROI.label","mFus",7.30253520979383e-06,0.249776346704235,0.0153721044335195,6.30222405016576e-06
"47","rh.45_ROI.label","mFus",1.28627985827633e-05,0.0021132817115233,0.104613931448736,4.0578561581168e-06
"48","rh.46_ROI.label","mFus",0.000150938168109642,0.00964297674309324,0.0753635043413434,5.70104963942364e-05
"49","rh.47l_ROI.label","mFus",5.78446926056994e-06,0.231549900909332,0.0166007700333931,4.80081650807002e-06
"50","rh.47m_ROI.label","mFus",-4.91314976038824e-07,0.95251891440042,4.14659617123274e-05,8.22727286092285e-06
"51","rh.47s_ROI.label","mFus",1.30026397195345e-05,0.248722866966015,0.0154401462619283,1.11963807805807e-05
"52","rh.52_ROI.label","mFus",-3.27371412454474e-05,0.626074528099275,0.00277295904501656,6.69447959382812e-05
"53","rh.55b_ROI.label","mFus",2.26813209785519e-05,0.00896092701327665,0.0767780035106895,8.48113123192754e-06
"54","rh.A1_ROI.label","mFus",-1.69709747387698e-05,0.0906114052256595,0.0329352707551408,9.91641547390616e-06
"55","rh.A4_ROI.label","mFus",-2.41121961982864e-05,0.223863622484893,0.0171540063151361,1.96810151754304e-05
"56","rh.A5_ROI.label","mFus",-1.64977472910137e-05,0.067636430398159,0.0383038269356458,8.91401338623022e-06
"57","rh.a9-46v_ROI.label","mFus",2.41904710133331e-05,0.0652432768030828,0.0389710751454298,1.29536492952828e-05
"58","rh.a10p_ROI.label","mFus",1.03719770291009e-05,0.422522129936501,0.00749546527897947,1.28700214916375e-05
"59","rh.a24_ROI.label","mFus",-3.53966973366579e-05,0.0177968128160303,0.0635708907573462,1.46494669081731e-05
"60","rh.a24pr_ROI.label","mFus",5.58343123261384e-06,0.540020623551674,0.0043821167718075,9.07520234960101e-06
"61","rh.a32pr_ROI.label","mFus",9.21199734881329e-06,0.166664535195267,0.0221216861338457,6.60446849903613e-06
"62","rh.a47r_ROI.label","mFus",6.35365790842347e-06,0.721464682167916,0.00148534472540572,1.7763894895486e-05
"63","rh.AAIC_ROI.label","mFus",-1.51443646929103e-05,0.602079179619297,0.00317467311873989,2.89375566339535e-05
"64","rh.AIP_ROI.label","mFus",-0.000746675832276062,0.000144222669290487,0.15544404456957,0.000187676562177378
"65","rh.AVI_ROI.label","mFus",3.04379137503738e-05,0.202356336290811,0.0188291632609423,2.36931313201742e-05
"66","rh.d23ab_ROI.label","mFus",0.000106332991829123,0.0165294452566012,0.0649893419676152,4.34916634577851e-05
"67","rh.d32_ROI.label","mFus",1.42394108561731e-05,0.171454468660073,0.0216353667887432,1.03254987121737e-05
"68","rh.DVT_ROI.label","mFus",-9.05846038338153e-05,0.653932627841729,0.00234781598046032,0.000201355137682241
"69","rh.EC_ROI.label","mFus",-1.20033365912193e-05,0.541760518958451,0.00434467972496335,1.959423826054e-05
"70","rh.FEF_ROI.label","mFus",6.82723905275601e-05,8.56302935971003e-05,0.165102050190301,1.65552730589016e-05
"71","rh.FOP1_ROI.label","mFus",1.24857397818697e-07,0.957360584055474,3.34329972662792e-05,2.32846726869785e-06
"72","rh.FOP2_ROI.label","mFus",4.39133565460896e-06,0.516731028103745,0.00490494674081078,6.74469855052561e-06
"73","rh.FOP3_ROI.label","mFus",1.64214699985243e-05,0.0894847809771406,0.0331630289518304,9.56119850960898e-06
"74","rh.FOP4_ROI.label","mFus",2.47392201991313e-05,0.0645845105322544,0.0391592587586444,1.32143332226809e-05
"75","rh.FOP5_ROI.label","mFus",6.5858890378773e-05,7.09800021336178e-06,0.210089821744817,1.37705577943141e-05
"76","rh.FST_ROI.label","mFus",-0.00086986721412186,0.558309290238435,0.00399939055693793,0.00148025531910952
"77","rh.H_ROI.label","mFus",-0.000929755731432271,0.0445355965678407,0.0461076113262744,0.000456019084718218
"78","rh.i6-8_ROI.label","mFus",6.63401072730634e-05,4.58750533713743e-06,0.217770006365357,1.35579848450052e-05
"79","rh.IFJa_ROI.label","mFus",3.31428489038314e-05,0.00244893266957018,0.101781389763433,1.06168931722374e-05
"80","rh.IFJp_ROI.label","mFus",5.48451978848921e-05,0.000522403810879969,0.131281241791423,1.52134476282977e-05
"81","rh.IFSa_ROI.label","mFus",2.71457883539467e-05,0.0518508808994193,0.0432522699051246,1.37672595829437e-05
"82","rh.IFSp_ROI.label","mFus",4.27637941518578e-05,0.00211312391387134,0.104615365552509,1.34906875790864e-05
"83","rh.Ig_ROI.label","mFus",1.16838490362591e-05,0.0650379827318811,0.0390295052282092,6.25165804954395e-06
"84","rh.IP0_ROI.label","mFus",0.000602872566294129,0.0157394885556335,0.0659302181312029,0.000244694214462007
"85","rh.IP1_ROI.label","mFus",-0.000599757066932186,0.0138542195916398,0.0683835329026042,0.000238709091302635
"86","rh.IP2_ROI.label","mFus",-0.000849244351834012,5.27538978101325e-08,0.292689059059866,0.00014235914967543
"87","rh.IPS1_ROI.label","mFus",-9.44253177838244e-06,0.961285151534201,2.75572907731747e-05,0.000193961255239077
"88","rh.LBelt_ROI.label","mFus",-3.91476932713242e-05,0.0626444193500107,0.039725369632133,2.07549028802188e-05
"89","rh.LIPd_ROI.label","mFus",-0.000248552517164418,0.0176644330953528,0.0637141910216499,0.000102743669836821
"90","rh.LIPv_ROI.label","mFus",-0.000112540235660348,0.208173593000542,0.0183562327865618,8.87449753336284e-05
"91","rh.LO1_ROI.label","mFus",-0.000208747540758069,0.569042880607339,0.00378557029546297,0.000365159747912722
"92","rh.LO2_ROI.label","mFus",0.000307018254296263,0.179317745055089,0.0208694476326071,0.000226766969541647
"93","rh.LO3_ROI.label","mFus",0.00105253210841967,0.00625109793399621,0.0837249754896487,0.000375466796739223
"94","rh.MBelt_ROI.label","mFus",-2.42274209430026e-05,0.0271397003440926,0.0554963261714549,1.07777391482625e-05
"95","rh.MI_ROI.label","mFus",-2.13619142904524e-05,0.193112352722801,0.0196140599980649,1.62856737380936e-05
"96","rh.MIP_ROI.label","mFus",0.000157298303512124,0.298617450510547,0.012555981488491,0.000150420047476991
"97","rh.MST_ROI.label","mFus",-0.00137636998378733,0.109162943361595,0.0295682720334892,0.000850267321885393
"98","rh.MT_ROI.label","mFus",0.000193406963574157,0.357182336499266,0.00986629372550769,0.000208926141344811
"99","rh.OFC_ROI.label","mFus",4.92728522681698e-05,0.046297591174197,0.0453776738179342,2.43698668633211e-05
"100","rh.OP1_ROI.label","mFus",-2.13228199782462e-05,0.150883169306869,0.0238426240764431,1.47122233395535e-05
"101","rh.OP2-3_ROI.label","mFus",1.28701471604052e-05,0.45023386286167,0.00664509152136363,1.6968209781434e-05
"102","rh.OP4_ROI.label","mFus",-9.50465141204135e-06,0.208347704514229,0.0183423157612997,7.49790477345862e-06
"103","rh.p9-46v_ROI.label","mFus",8.99350744891987e-05,9.96735516876652e-05,0.162296774744046,2.20328167391056e-05
"104","rh.p10p_ROI.label","mFus",3.72317850460108e-05,0.0362367579628932,0.0500018538505272,1.74997948982305e-05
"105","rh.p24_ROI.label","mFus",3.13333280971989e-06,0.621380639618668,0.00284888550597875,6.32121107489943e-06
"106","rh.p24pr_ROI.label","mFus",-1.30129293811664e-05,0.190015767800021,0.0198867226384584,9.85104664042255e-06
"107","rh.p32_ROI.label","mFus",-2.31966269509851e-05,0.145078561611953,0.0245267959823235,1.57747641676932e-05
"108","rh.p32pr_ROI.label","mFus",2.60594781307274e-05,0.121058499926532,0.0277196544200155,1.66424912061838e-05
"109","rh.p47r_ROI.label","mFus",1.34691786637143e-05,0.211677245896676,0.0180787617884451,1.07039944116283e-05
"110","rh.PBelt_ROI.label","mFus",-2.17978821396854e-05,0.0803511990629489,0.0351304007138181,1.23185001787258e-05
"111","rh.PCV_ROI.label","mFus",-0.000104618659311189,0.27437943999718,0.0138758357643192,9.51034232567813e-05
"112","rh.PeEc_ROI.label","mFus",0.000223938103950161,0.000917024006268437,0.120590561140708,6.52105216677952e-05
"113","rh.PEF_ROI.label","mFus",1.26179986730043e-05,0.162955345065729,0.0225092323769217,8.96638208463465e-06
"114","rh.PF_ROI.label","mFus",-0.00023861738303446,0.000789641448711675,0.123438695933713,6.85675035468647e-05
"115","rh.PFcm_ROI.label","mFus",-0.000132003444838496,7.12856122030036e-05,0.168479844909767,3.162266392509e-05
"116","rh.PFm_ROI.label","mFus",-0.000786979505335727,0.00145180566606417,0.111813548667487,0.000239176801282173
"117","rh.PFop_ROI.label","mFus",-2.16638675441719e-05,0.0281582840922259,0.0547940724550213,9.70248979164629e-06
"118","rh.PFt_ROI.label","mFus",-0.000237948219313383,0.00049977070545151,0.132119706957091,6.57626561600764e-05
"119","rh.PGi_ROI.label","mFus",-0.000634442365871,0.166465280988276,0.0221422568920127,0.00045464230754966
"120","rh.PGp_ROI.label","mFus",0.0009783689541584,0.0125412210090728,0.0702999459312119,0.000383660748811882
"121","rh.PGs_ROI.label","mFus",4.40694724324108e-05,0.839302396586678,0.000480836401529511,0.000216663382658164
"122","rh.PHA1_ROI.label","mFus",0.000260685682663595,0.00430170998489402,0.0909337385574151,8.88798270012706e-05
"123","rh.PHT_ROI.label","mFus",-0.000812715373897368,0.077491343181255,0.0357955381569899,0.000454840753178393
"124","rh.PI_ROI.label","mFus",4.00870043361208e-05,0.804224491786871,0.000718399051390101,0.00016121871226231
"125","rh.Pir_ROI.label","mFus",-0.000103310374125191,0.152830780845159,0.0236196043487577,7.16255425734735e-05
"126","rh.pOFC_ROI.label","mFus",-3.01974772703701e-05,0.376848500113681,0.00909222106204943,3.39940620771801e-05
"127","rh.PoI1_ROI.label","mFus",0.000121155856241098,0.301337535449976,0.0124163182302667,0.000116516041284153
"128","rh.PoI2_ROI.label","mFus",1.10465092920121e-05,0.496358919847565,0.00539712034253535,1.61703582541083e-05
