"","glasser","froi","slope","pval","rsquared","standard_error"
"1","rh.1_ROI.label","pFus",2.01177047579814e-05,0.387197576668795,0.0087070033538141,2.31470616183744e-05
"2","rh.2_ROI.label","pFus",-0.000220888859272085,0.0129537646791012,0.0696768496973004,8.70356641167754e-05
"3","rh.3a_ROI.label","pFus",-5.6858826664453e-05,0.280344478517246,0.0135378380578687,5.23376509136393e-05
"4","rh.3b_ROI.label","pFus",-0.000175200770393062,0.000636850710372602,0.127525619636746,4.94156379256085e-05
"5","rh.4_ROI.label","pFus",0.000104231856854335,0.00537848955332264,0.0866254958624408,3.64966350226629e-05
"6","rh.5L_ROI.label","pFus",-3.8502443402534e-05,0.00632421591746644,0.0835006169527048,1.37549910399147e-05
"7","rh.5m_ROI.label","pFus",-1.03175159153149e-05,0.135323487223916,0.025747869266959,6.84369988547128e-06
"8","rh.5mv_ROI.label","pFus",-0.000161421711064185,0.000389171341835387,0.13684598756635,4.37160419165884e-05
"9","rh.6a_ROI.label","pFus",0.000408273248457757,2.71234460705084e-12,0.435379500187946,5.01355786171553e-05
"10","rh.6d_ROI.label","pFus",7.43502591505285e-05,0.000133635245080664,0.156861423800774,1.85876576366937e-05
"11","rh.6ma_ROI.label","pFus",6.81363835405583e-05,0.011003415111816,0.0728196835124646,2.62172757137893e-05
"12","rh.6mp_ROI.label","pFus",5.12750780899202e-05,0.112788673729464,0.0289825508401569,3.20038568194022e-05
"13","rh.6r_ROI.label","pFus",9.56700096798901e-06,0.208615083141043,0.0183209701193234,7.55156762752973e-06
"14","rh.6v_ROI.label","pFus",7.27400636400482e-06,0.11942337351842,0.0279617673482577,4.62470266179619e-06
"15","rh.7AL_ROI.label","pFus",-0.000177061020770104,0.00196667594656085,0.105994370824117,5.54501166448863e-05
"16","rh.7Am_ROI.label","pFus",-0.000103411302475029,0.265741810876503,0.0143817334667961,9.23139929743771e-05
"17","rh.7m_ROI.label","pFus",0.000307534848158119,0.00856567327238001,0.0776480159246519,0.000114295273387344
"18","rh.7PC_ROI.label","pFus",-0.000132094108812393,0.00659913397698818,0.0826796438469442,4.7445545088497e-05
"19","rh.7PL_ROI.label","pFus",0.000227300523766453,0.00833052324444618,0.078184920883396,8.41611409304679e-05
"20","rh.7Pm_ROI.label","pFus",5.56988663297206e-05,0.505691344305302,0.00516746306564416,8.3336149456161e-05
"21","rh.8Ad_ROI.label","pFus",0.000158137983319002,1.26681217085069e-07,0.278518413963822,2.74455943062658e-05
"22","rh.8Av_ROI.label","pFus",0.000141006589568469,6.73730015604663e-08,0.288758119693571,2.38633681450649e-05
"23","rh.8BL_ROI.label","pFus",5.28274604628852e-05,0.00150718971078054,0.111096615431663,1.61134068862196e-05
"24","rh.8BM_ROI.label","pFus",3.69235994782792e-05,0.010544278794824,0.0736410583117853,1.41216175049967e-05
"25","rh.8C_ROI.label","pFus",0.000230986700599392,5.39734440370263e-12,0.426403775530776,2.88888577992823e-05
"26","rh.9-46d_ROI.label","pFus",0.000123155198545527,3.84313670991219e-06,0.220867387945176,2.49426973451298e-05
"27","rh.9a_ROI.label","pFus",2.30702856645586e-05,0.0929613621521265,0.0324697744869538,1.35798940300217e-05
"28","rh.9m_ROI.label","pFus",1.70835056283932e-05,0.238560634350126,0.0161148791908918,1.43941637459412e-05
"29","rh.9p_ROI.label","pFus",2.91844907132933e-05,0.042996809230105,0.0467699132877672,1.42075267293259e-05
"30","rh.10d_ROI.label","pFus",3.85225623781454e-06,0.681389360820652,0.00196955502752328,9.35090784015516e-06
"31","rh.10pp_ROI.label","pFus",-5.77518026918976e-05,0.0135508046762021,0.0688096149066168,2.29092566334923e-05
"32","rh.10r_ROI.label","pFus",-1.40593517181998e-05,0.223230581307501,0.0172005707615438,1.1459801332061e-05
"33","rh.10v_ROI.label","pFus",-1.96124382158257e-05,0.0743372032609884,0.0365598908707602,1.08565610464809e-05
"34","rh.11l_ROI.label","pFus",-2.68266021294941e-05,0.214134783347421,0.0178873216035843,2.14350471737327e-05
"35","rh.13l_ROI.label","pFus",-2.99701682993689e-05,0.0528709044656601,0.0428876629847447,1.52670533251564e-05
"36","rh.23c_ROI.label","pFus",-4.80283213450431e-05,0.429396805458023,0.00727680421821712,6.04911612448346e-05
"37","rh.23d_ROI.label","pFus",-2.78891647512876e-05,0.0500957031430027,0.0438974428457163,1.40352098695355e-05
"38","rh.24dd_ROI.label","pFus",2.95476696095082e-05,0.113428656507757,0.0288812827292126,1.84757438291942e-05
"39","rh.24dv_ROI.label","pFus",0.00010618639910271,3.93002188547558e-05,0.179380379513828,2.44908098838514e-05
"40","rh.25_ROI.label","pFus",-4.59259522577072e-05,3.89270470788983e-06,0.220643536827638,9.30746495858165e-06
"41","rh.31a_ROI.label","pFus",-2.82550092301376e-05,0.16277176503936,0.0225286704004701,2.0069218496028e-05
"42","rh.31pd_ROI.label","pFus",-5.88326920950046e-05,0.536298912424899,0.00446293747827965,9.47518745933872e-05
"43","rh.31pv_ROI.label","pFus",9.02336139829058e-05,0.224001503392003,0.0171438848761292,7.36731904205155e-05
"44","rh.33pr_ROI.label","pFus",-1.23629569730001e-06,0.794385414134424,0.000794090374879927,4.72896024573395e-06
"45","rh.43_ROI.label","pFus",-2.4935549783663e-06,0.377962432192982,0.00905005062549411,2.81365003253897e-06
"46","rh.44_ROI.label","pFus",8.92173031579351e-06,0.039570082819518,0.0483371307032876,4.26875268943397e-06
"47","rh.45_ROI.label","pFus",2.08219925857884e-05,5.24926540838719e-07,0.254975860435053,3.83803297003374e-06
"48","rh.46_ROI.label","pFus",7.43414633466807e-05,0.000365272155526778,0.138041081306783,2.00318466776811e-05
"49","rh.47l_ROI.label","pFus",8.28071624940345e-06,0.0255867026890882,0.0566204947879931,3.64481144368769e-06
"50","rh.47m_ROI.label","pFus",-1.10860991274059e-06,0.853182837374192,0.000400460197224729,5.97259239913922e-06
"51","rh.47s_ROI.label","pFus",-6.98523955547552e-06,0.281134487331449,0.013493745047435,6.44044314165424e-06
"52","rh.52_ROI.label","pFus",-0.000237297685325504,0.0236646371209956,0.0581121820584478,0.000103017326471174
"53","rh.55b_ROI.label","pFus",2.57294691912257e-05,0.00128624149025506,0.114130566701681,7.72975043751523e-06
"54","rh.A1_ROI.label","pFus",-3.44942383532387e-05,0.00235481023438558,0.102534763226646,1.10045068614014e-05
"55","rh.A4_ROI.label","pFus",1.72840965736887e-06,0.892202150492089,0.000214770795110073,1.27163714180359e-05
"56","rh.A5_ROI.label","pFus",1.86452399860118e-06,0.896429670143678,0.000198163765360876,1.42811635935165e-05
"57","rh.a9-46v_ROI.label","pFus",1.17447833350218e-05,0.131161816116935,0.0262986594082375,7.70622814854845e-06
"58","rh.a10p_ROI.label","pFus",-4.11802978104948e-06,0.732344260885875,0.00136711084353423,1.200166018438e-05
"59","rh.a24_ROI.label","pFus",-3.76389532598869e-05,0.00277875418793507,0.0993513127925348,1.22202254058492e-05
"60","rh.a24pr_ROI.label","pFus",8.08972873851407e-06,0.511806061652947,0.00502085512996112,1.22801275382123e-05
"61","rh.a32pr_ROI.label","pFus",2.19125018325513e-05,0.00569215897782282,0.0855320508693083,7.72613942905491e-06
"62","rh.a47r_ROI.label","pFus",-2.34156369058861e-06,0.868383660922467,0.000321117650816488,1.4088180896338e-05
"63","rh.AAIC_ROI.label","pFus",-8.72488321156323e-05,2.98778631065727e-05,0.184361627576606,1.97890048367272e-05
"64","rh.AIP_ROI.label","pFus",-0.00075964988149801,1.10313507169501e-06,0.242407030284453,0.000144813687083747
"65","rh.AVI_ROI.label","pFus",-2.10391204902723e-05,0.083071384576565,0.0345206107742573,1.19980487760053e-05
"66","rh.d23ab_ROI.label","pFus",4.49205076341224e-05,0.20900860133138,0.0182896123416801,3.5488273606044e-05
"67","rh.d32_ROI.label","pFus",1.56930432414671e-05,0.173738296361912,0.0214088703143822,1.14409399866451e-05
"68","rh.DVT_ROI.label","pFus",0.000152885203016081,0.592759499184392,0.00334002390902885,0.000284783583096213
"69","rh.EC_ROI.label","pFus",-1.38073156390213e-05,0.379222453756769,0.00900255800161411,1.56211617775955e-05
"70","rh.FEF_ROI.label","pFus",8.54074464587251e-05,1.75914417086256e-06,0.234414341712303,1.66437551047678e-05
"71","rh.FOP1_ROI.label","pFus",2.46967731639097e-06,0.351282297459616,0.0101099561373415,2.6351772325955e-06
"72","rh.FOP2_ROI.label","pFus",-4.19024765191269e-07,0.942775423733429,6.02620741421338e-05,5.82043363718935e-06
"73","rh.FOP3_ROI.label","pFus",2.84924039547556e-07,0.973749104567392,1.2664515333057e-05,8.63341922787643e-06
"74","rh.FOP4_ROI.label","pFus",1.32573745282317e-05,0.15754733073378,0.0230924016417,9.29823444858389e-06
"75","rh.FOP5_ROI.label","pFus",4.73967529077243e-05,0.000367058009735898,0.137949148172184,1.27763351350945e-05
"76","rh.FST_ROI.label","pFus",0.000356839974319693,0.896315306030075,0.000198604081959414,0.00273015345301689
"77","rh.H_ROI.label","pFus",5.47845249202537e-05,0.788417387355316,0.000841975197736994,0.00020350548326576
"78","rh.i6-8_ROI.label","pFus",8.32349332802729e-05,8.83705290524549e-06,0.20621027609412,1.76097826003237e-05
"79","rh.IFJa_ROI.label","pFus",3.94945964010045e-05,6.37321066263414e-05,0.170538425389119,9.39237591078622e-06
"80","rh.IFJp_ROI.label","pFus",4.37210675988603e-05,0.00166819489189474,0.10915184623689,1.34687667438339e-05
"81","rh.IFSa_ROI.label","pFus",1.86000766133573e-05,0.0439531587523865,0.0463554757846104,9.09721053625139e-06
"82","rh.IFSp_ROI.label","pFus",3.34228636039336e-05,0.000212127998813847,0.148246601117282,8.6389109269371e-06
"83","rh.Ig_ROI.label","pFus",-1.82803065895222e-06,0.774734089308032,0.000957461414439576,6.36745082201684e-06
"84","rh.IP0_ROI.label","pFus",0.000916105854314788,0.000532301956643722,0.130925774074911,0.000254514361225304
"85","rh.IP1_ROI.label","pFus",-0.00098023278931739,0.000204350838251835,0.148945158372843,0.000252665286303331
"86","rh.IP2_ROI.label","pFus",-0.000978138086514673,5.69345563132041e-11,0.39461669876363,0.000130640680267278
"87","rh.IPS1_ROI.label","pFus",0.000160881001971442,0.626446706393616,0.00276699298490566,0.000329344056251538
