"","glasser","froi","slope","pval","rsquared","standard_error"
"1","rh.1_ROI.label","OTS",3.54594421317118e-05,0.370830916698871,0.0093230624082166,3.94157145338727e-05
"2","rh.2_ROI.label","OTS",-0.000366016366806218,0.000551594258696885,0.130251319652988,0.000101989885291999
"3","rh.3a_ROI.label","OTS",-8.30590257085774e-05,0.351798450227341,0.0100884196952833,8.8720552686872e-05
"4","rh.3b_ROI.label","OTS",-0.000261828582836574,0.000658268280169154,0.126897645531788,7.40582809671842e-05
"5","rh.4_ROI.label","OTS",5.38559703981182e-05,0.390440744738663,0.00858925343840797,6.23926931804551e-05
"6","rh.5L_ROI.label","OTS",-5.15889541647463e-05,0.0210156797917925,0.0603835286527605,2.19443926030173e-05
"7","rh.5m_ROI.label","OTS",-2.13294378573253e-05,0.0375856154863096,0.0493099734102324,1.00990906113223e-05
"8","rh.5mv_ROI.label","OTS",-0.000271932649433295,8.02937576214364e-05,0.166288667299379,6.56581519250677e-05
"9","rh.6a_ROI.label","OTS",0.000386346304300058,5.43196090042014e-07,0.254400917974949,7.13215678945937e-05
"10","rh.6d_ROI.label","OTS",7.9280384879574e-05,0.00238785679772589,0.102266898710128,2.53292657548936e-05
"11","rh.6ma_ROI.label","OTS",2.73708955566644e-05,0.286840223578006,0.0131798181051043,2.55390115761178e-05
"12","rh.6mp_ROI.label","OTS",-4.10082971851607e-05,0.267164728892579,0.0142970115344518,3.67174839236328e-05
"13","rh.6r_ROI.label","OTS",9.71663321799239e-06,0.54462295882163,0.00428356530621867,1.59746637400559e-05
"14","rh.6v_ROI.label","OTS",1.65117719565007e-05,0.0119353008530596,0.0712535659801366,6.4282052319347e-06
"15","rh.7AL_ROI.label","OTS",-0.000224780347004346,0.0191166577674581,0.0621984515161415,9.41184568848255e-05
"16","rh.7Am_ROI.label","OTS",-4.64380245568484e-05,0.730551301108919,0.00138621875234436,0.000134402517644615
"17","rh.7m_ROI.label","OTS",0.000408009980073083,0.00669640878716315,0.0823973262497495,0.000146822405828164
"18","rh.7PC_ROI.label","OTS",-0.000143709456023714,0.0326716022062099,0.0519660975747982,6.61893325631518e-05
"19","rh.7PL_ROI.label","OTS",0.000261601439444605,0.0052375140958439,0.0871378395019503,9.13040647927107e-05
"20","rh.7Pm_ROI.label","OTS",8.11925260225432e-05,0.465200254422408,0.00621851504716902,0.000110679944673503
"21","rh.8Ad_ROI.label","OTS",0.000228372316347566,9.76643658860216e-05,0.162673335504235,5.58706219796425e-05
